x,y
1,7
2,9
3,11
4,13
5,15
6,17
7,19
8,21
9,23
10,25
11,27
12,29
13,31
14,33
15,35
16,37
17,39
18,41
19,43
20,45
21,47
22,49
23,51
24,53
25,55
26,57
27,59
28,61
29,63
30,65
31,67
32,69
33,71
34,73
35,75
36,77
37,79
38,81
39,83
40,85
41,87
42,89
43,91
44,93
45,95
46,97
47,99
48,101
49,103
50,105
51,107
52,109
53,111
54,113
55,115
56,117
57,119
58,121
59,123
60,125
61,127
62,129
63,131
64,133
65,135
66,137
67,139
68,141
69,143
70,145
71,147
72,149
73,151
74,153
75,155
76,157
77,159
78,161
79,163
80,165
81,167
82,169
83,171
84,173
85,175
86,177
87,179
88,181
89,183
90,185
91,187
92,189
93,191
94,193
95,195
96,197
97,199
98,201
99,203
100,205
101,207
102,209
103,211
104,213
105,215
106,217
107,219
108,221
109,223
110,225
111,227
112,229
113,231
114,233
115,235
116,237
117,239
118,241
119,243
120,245
121,247
122,249
123,251
124,253
125,255
126,257
127,259
128,261
129,263
130,265
131,267
132,269
133,271
134,273
135,275
136,277
137,279
138,281
139,283
140,285
141,287
142,289
143,291
144,293
145,295
146,297
147,299
148,301
149,303
150,305
151,307
152,309
153,311
154,313
155,315
156,317
157,319
158,321
159,323
160,325
161,327
162,329
163,331
164,333
165,335
166,337
167,339
168,341
169,343
170,345
171,347
172,349
173,351
174,353
175,355
176,357
177,359
178,361
179,363
180,365
181,367
182,369
183,371
184,373
185,375
186,377
187,379
188,381
189,383
190,385
191,387
192,389
193,391
194,393
195,395
196,397
197,399
198,401
199,403
200,405
201,407
202,409
203,411
204,413
205,415
206,417
207,419
208,421
209,423
210,425
211,427
212,429
213,431
214,433
215,435
216,437
217,439
218,441
219,443
220,445
221,447
222,449
223,451
224,453
225,455
226,457
227,459
228,461
229,463
230,465
231,467
232,469
233,471
234,473
235,475
236,477
237,479
238,481
239,483
240,485
241,487
242,489
243,491
244,493
245,495
246,497
247,499
248,501
249,503
250,505
251,507
252,509
253,511
254,513
255,515
256,517
257,519
258,521
259,523
260,525
261,527
262,529
263,531
264,533
265,535
266,537
267,539
268,541
269,543
270,545
271,547
272,549
273,551
274,553
275,555
276,557
277,559
278,561
279,563
280,565
281,567
282,569
283,571
284,573
285,575
286,577
287,579
288,581
289,583
290,585
291,587
292,589
293,591
294,593
295,595
296,597
297,599
298,601
299,603
300,605
301,607
302,609
303,611
304,613
305,615
306,617
307,619
308,621
309,623
310,625
311,627
312,629
313,631
314,633
315,635
316,637
317,639
318,641
319,643
320,645
321,647
322,649
323,651
324,653
325,655
326,657
327,659
328,661
329,663
330,665
331,667
332,669
333,671
334,673
335,675
336,677
337,679
338,681
339,683
340,685
341,687
342,689
343,691
344,693
345,695
346,697
347,699
348,701
349,703
350,705
351,707
352,709
353,711
354,713
355,715
356,717
357,719
358,721
359,723
360,725
361,727
362,729
363,731
364,733
365,735
366,737
367,739
368,741
369,743
370,745
371,747
372,749
373,751
374,753
375,755
376,757
377,759
378,761
379,763
380,765
381,767
382,769
383,771
384,773
385,775
386,777
387,779
388,781
389,783
390,785
391,787
392,789
393,791
394,793
395,795
396,797
397,799
398,801
399,803
400,805
401,807
402,809
403,811
404,813
405,815
406,817
407,819
408,821
409,823
410,825
411,827
412,829
413,831
414,833
415,835
416,837
417,839
418,841
419,843
420,845
421,847
422,849
423,851
424,853
425,855
426,857
427,859
428,861
429,863
430,865
431,867
432,869
433,871
434,873
435,875
436,877
437,879
438,881
439,883
440,885
441,887
442,889
443,891
444,893
445,895
446,897
447,899
448,901
449,903
450,905
451,907
452,909
453,911
454,913
455,915
456,917
457,919
458,921
459,923
460,925
461,927
462,929
463,931
464,933
465,935
466,937
467,939
468,941
469,943
470,945
471,947
472,949
473,951
474,953
475,955
476,957
477,959
478,961
479,963
480,965
481,967
482,969
483,971
484,973
485,975
486,977
487,979
488,981
489,983
490,985
491,987
492,989
493,991
494,993
495,995
496,997
497,999
498,1001
499,1003
500,1005
501,1007
502,1009
503,1011
504,1013
505,1015
506,1017
507,1019
508,1021
509,1023
510,1025
511,1027
512,1029
513,1031
514,1033
515,1035
516,1037
517,1039
518,1041
519,1043
520,1045
521,1047
522,1049
523,1051
524,1053
525,1055
526,1057
527,1059
528,1061
529,1063
530,1065
531,1067
532,1069
533,1071
534,1073
535,1075
536,1077
537,1079
538,1081
539,1083
540,1085
541,1087
542,1089
543,1091
544,1093
545,1095
546,1097
547,1099
548,1101
549,1103
550,1105
551,1107
552,1109
553,1111
554,1113
555,1115
556,1117
557,1119
558,1121
559,1123
560,1125
561,1127
562,1129
563,1131
564,1133
565,1135
566,1137
567,1139
568,1141
569,1143
570,1145
571,1147
572,1149
573,1151
574,1153
575,1155
576,1157
577,1159
578,1161
579,1163
580,1165
581,1167
582,1169
583,1171
584,1173
585,1175
586,1177
587,1179
588,1181
589,1183
590,1185
591,1187
592,1189
593,1191
594,1193
595,1195
596,1197
597,1199
598,1201
599,1203
600,1205
601,1207
602,1209
603,1211
604,1213
605,1215
606,1217
607,1219
